eqp_id;od_id;cycle_min;mov_id
CW-121;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;11;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;48;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;63;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;24;Producao Final Minerio
CW-123;16 BAL - 11 GRADE;58;Producao Final Minerio
CW-123;22 SER - 11 GRADE;109;Producao Final Minerio
CW-123;22 SER - 11 GRADE;92;Producao Final Minerio
CW-123;22 SER - 11 GRADE;80;Producao Final Minerio
CW-123;22 SER - 11 GRADE;68;Producao Final Minerio
CW-107;11 SER - 11 GRADE;30;Producao Final Minerio
CW-107;11 SER - 11 GRADE;24;Producao Final Minerio
CW-107;11 SER - 11 GRADE;26;Producao Final Minerio
CW-107;11 SER - 11 GRADE;31;Producao Final Minerio
CW-107;11 SER - 11 GRADE;28;Producao Final Minerio
CW-107;11 SER - 11 GRADE;35;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;39;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;116;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;82;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;50;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;21;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;22;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;39;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-108;22 SER - 11 GRADE;64;Producao Final Minerio
CW-109;19 BAL - 11 GRADE;69;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;68;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;52;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;51;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;48;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;45;Producao Final Minerio
CW-110;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-110;19 BAL - 11 GRADE;72;Producao Final Minerio
CW-110;19 BAL - 11 GRADE;75;Producao Final Minerio
CW-110;22 SER - 11 GRADE;79;Producao Final Minerio
CW-110;22 SER - 11 GRADE;98;Producao Final Minerio
CW-110;22 SER - 11 GRADE;88;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;61;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;66;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;66;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;85;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;88;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;54;Producao Final Minerio
CW-113;16 BAL - 11 GRADE;53;Producao Final Minerio
CW-113;22 SER - 11 GRADE;80;Producao Final Minerio
CW-113;22 SER - 11 GRADE;106;Producao Final Minerio
CW-113;22 SER - 11 GRADE;83;Producao Final Minerio
CW-113;22 SER - 11 GRADE;101;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;69;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;57;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;59;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;47;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;54;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;51;Producao Final Minerio
CW-114;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-114;19 BAL - 11 GRADE;80;Producao Final Minerio
CW-114;22 SER - 11 GRADE;88;Producao Final Minerio
CW-114;22 SER - 11 GRADE;103;Producao Final Minerio
CW-114;22 SER - 11 GRADE;78;Producao Final Minerio
CW-114;22 SER - 11 GRADE;88;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;66;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;63;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;63;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;53;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;63;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-115;19 BAL - 11 GRADE;67;Producao Final Minerio
CW-115;22 SER - 11 GRADE;93;Producao Final Minerio
CW-115;22 SER - 11 GRADE;93;Producao Final Minerio
CW-115;22 SER - 11 GRADE;90;Producao Final Minerio
CW-115;22 SER - 11 GRADE;88;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;58;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;48;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;57;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;51;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;43;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;39;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;12;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;41;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;43;Producao Final Minerio
CW-117;19 BAL - 11 GRADE;65;Producao Final Minerio
CW-117;19 BAL - 11 GRADE;92;Producao Final Minerio
CW-117;22 SER - 11 GRADE;92;Producao Final Minerio
CW-117;22 SER - 11 GRADE;86;Producao Final Minerio
CW-117;22 SER - 11 GRADE;97;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;46;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;47;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;21;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;39;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;47;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;61;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-120;19 BAL - 11 GRADE;113;Producao Final Minerio
CW-120;19 BAL - 11 GRADE;131;Producao Final Minerio
CW-121;11 SER - 11 GRADE;26;Producao Final Minerio
CW-121;11 SER - 11 GRADE;26;Producao Final Minerio
CW-121;11 SER - 11 GRADE;25;Producao Final Minerio
CW-121;11 SER - 11 GRADE;21;Producao Final Minerio
CW-121;11 SER - 11 GRADE;27;Producao Final Minerio
CW-121;11 SER - 11 GRADE;27;Producao Final Minerio
CW-121;11 SER - 11 GRADE;34;Producao Final Minerio
CW-121;11 SER - 11 GRADE;42;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;23;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;40;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;22;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;45;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;47;Producao Final Minerio
CW-121;19 BAL - 11 GRADE;64;Producao Final Minerio
CW-121;19 BAL - 11 GRADE;52;Producao Final Minerio
CW-123;11 SER - 11 GRADE;37;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;39;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;38;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;47;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;39;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;20;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;49;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;55;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;60;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;47;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;46;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;44;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;47;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;38;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;65;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;25;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;42;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;40;Producao Final Minerio
CW-107;19 BAL - 11 GRADE;85;Producao Final Minerio
CW-107;19 BAL - 11 GRADE;69;Producao Final Minerio
CW-107;19 BAL - 11 GRADE;51;Producao Final Minerio
CW-107;22 SER - 11 GRADE;23;Producao Final Minerio
CW-107;22 SER - 11 GRADE;78;Producao Final Minerio
CW-108;15 GAL - 11 GRADE;96;Producao Final Minerio
CW-108;15 GAL - 11 GRADE;48;Producao Final Minerio
CW-108;15 GAL - 11 GRADE;54;Producao Final Minerio
CW-108;15 GAL - 11 GRADE;73;Producao Final Minerio
CW-108;22 FGS - 11 GRADE;96;Producao Final Minerio
CW-110;15 GAL - 11 GRADE;54;Producao Final Minerio
CW-110;15 GAL - 11 GRADE;48;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;110;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;107;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;95;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;106;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;112;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;96;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;87;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;95;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;59;Producao Final Minerio
CW-111;15 GAL - 11 GRADE;49;Producao Final Minerio
CW-111;22 FGS - 11 GRADE;64;Producao Final Minerio
CW-112;15 GAL - 11 GRADE;84;Producao Final Minerio
CW-112;15 GAL - 11 GRADE;47;Producao Final Minerio
CW-113;15 GAL - 11 GRADE;54;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;108;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;100;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;118;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;82;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;98;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;141;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;93;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;101;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;135;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;98;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;96;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;91;Producao Final Minerio
CW-114;22 SER - 11 GRADE;72;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;145;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;108;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;99;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;102;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;110;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;107;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;114;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;102;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;96;Producao Final Minerio
CW-117;15 GAL - 11 GRADE;25;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;62;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;54;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;108;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;109;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;92;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;97;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;84;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;64;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;53;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;45;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;46;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;47;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;44;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;40;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;42;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;40;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;52;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;57;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;50;Producao Final Minerio
CW-120;11 BAL - 11 GRADE;15;Producao Final Minerio
CW-120;11 BAL - 11 GRADE;23;Producao Final Minerio
CW-120;11 BAL - 11 GRADE;18;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;28;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;59;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;55;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;61;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;40;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;65;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;52;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;50;Producao Final Minerio
CW-120;19 BAL - 11 GRADE;88;Producao Final Minerio
CW-120;19 BAL - 11 GRADE;82;Producao Final Minerio
CW-120;19 BAL - 11 GRADE;55;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;15;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;14;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;13;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;22;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;16;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;16;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;17;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;15;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;15;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;16;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;14;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;42;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;14;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;13;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;12;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;15;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;16;Producao Final Minerio
CW-121;15 GAL - 11 GRADE;60;Producao Final Minerio
CW-121;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-121;15 GAL - 11 GRADE;48;Producao Final Minerio
CW-121;15 GAL - 11 GRADE;39;Producao Final Minerio
CW-121;19 BAL - 11 GRADE;78;Producao Final Minerio
CW-121;19 BAL - 11 GRADE;69;Producao Final Minerio
CW-121;19 BAL - 11 GRADE;58;Producao Final Minerio
CW-121;19 BAL - 11 GRADE;87;Producao Final Minerio
CW-121;22 SER - 11 GRADE;93;Producao Final Minerio
CW-122;19 BAL - 11 GRADE;60;Producao Final Minerio
CW-122;19 BAL - 11 GRADE;513;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;21;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;18;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;17;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;20;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;18;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;19;Producao Final Minerio
CW-123;11 BAL - 11 GRADE;17;Producao Final Minerio
CW-123;15 GAL - 11 GRADE;49;Producao Final Minerio
CW-123;15 GAL - 11 GRADE;47;Producao Final Minerio
CW-123;15 GAL - 11 GRADE;48;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;89;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;63;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;63;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;60;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;60;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;65;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;68;Producao Final Minerio
CW-123;19 BAL - 11 GRADE;33;Producao Final Minerio
CW-123;22 FGS - 11 GRADE;109;Producao Final Minerio
JQ-CW-051;19 BAL - 11 GRADE;86;Producao Final Minerio
CW-107;11 BAL - 11 GRADE;31;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;56;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;50;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;44;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;55;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;123;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;44;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;44;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;42;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;47;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;86;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;45;Producao Final Minerio
CW-107;15 GAL - 11 GRADE;39;Producao Final Minerio
CW-107;19 BAL - 11 GRADE;90;Producao Final Minerio
CW-107;19 BAL - 11 GRADE;50;Producao Final Minerio
CW-108;22 FGS - 11 GRADE;52;Producao Final Minerio
CW-109;15 GAL - 11 GRADE;19;Producao Final Minerio
CW-109;22 FGS - 11 GRADE;62;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;53;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;88;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;96;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;88;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;59;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;73;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;100;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;89;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;93;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;86;Producao Final Minerio
CW-111;11 BAL - 11 GRADE;9;Producao Final Minerio
CW-111;11 BAL - 11 GRADE;7;Producao Final Minerio
CW-111;11 BAL - 11 GRADE;14;Producao Final Minerio
CW-111;11 BAL - 11 GRADE;29;Producao Final Minerio
CW-111;11 BAL - 11 GRADE;10;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;99;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;97;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;109;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;157;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;94;Producao Final Minerio
CW-114;22 VIA - 11 GRADE;117;Producao Final Minerio
CW-114;22 VIA - 11 GRADE;1;Producao Final Minerio
CW-114;23 FGS - 11 GRADE;116;Producao Final Minerio
CW-114;23 FGS - 11 GRADE;133;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;84;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;102;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;115;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;94;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;86;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;108;Producao Final Minerio
CW-115;22 VIA - 11 GRADE;120;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;102;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;138;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;51;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;57;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;112;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;90;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;58;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;85;Producao Final Minerio
CW-117;23 FGS - 11 GRADE;79;Producao Final Minerio
CW-117;23 FGS - 11 GRADE;89;Producao Final Minerio
CW-117;23 FGS - 11 GRADE;153;Producao Final Minerio
CW-117;23 FGS - 11 GRADE;89;Producao Final Minerio
CW-117;23 FGS - 11 GRADE;93;Producao Final Minerio
CW-118;11 BAL - 11 GRADE;27;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;55;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;37;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;38;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;36;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;53;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;55;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;57;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;22;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;35;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;63;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;54;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;44;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;46;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;46;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;54;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;45;Producao Final Minerio
CW-118;15 GAL - 11 GRADE;74;Producao Final Minerio
CW-118;20 SER - 11 GRADE;66;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;57;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;42;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;49;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;40;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;38;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;49;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;41;Producao Final Minerio
CW-120;15 GAL - 11 GRADE;39;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;14;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;16;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;20;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;20;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;20;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;18;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;19;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;23;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;19;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;19;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;18;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;22;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;19;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;29;Producao Final Minerio
CW-121;11 BAL - 11 GRADE;21;Producao Final Minerio
